URL,Category,Mobile_Performance_Score,Mobile_FCP,Mobile_LCP,Mobile_SI,Mobile_TTI,Mobile_TBT,Mobile_CLS,Desktop_Performance_Score,Desktop_FCP,Desktop_LCP,Desktop_SI,Desktop_TTI,Desktop_TBT,Desktop_CLS
https://www.sortlist.com/agency/segula-technologies-italy,Agency,65,1237,6115,3691,14347,458,0,68,384,1257,805,4661,1305,0
https://www.sortlist.com/agency/compare-income-protection-insurance,Agency,65,1240,6080,3238,14484,470,0,74,366,402,1195,3954,655,0
https://www.sortlist.com/agency/global-relay-communications,Agency,59,1244,6149,3190,14239,750,0,66,389,1304,1437,4802,1436,0
https://www.sortlist.com/agency/miind,Agency,47,1375,6987,5990,15577,1176,0,63,346,1559,2048,4537,899,0
https://www.sortlist.com/agency/healer-services-and-lost-love-spell-caster-in-south-africa,Agency,75,1419,2252,3408,14643,1031,0,73,364,510,1216,4095,739,0
https://www.sortlist.com/agency/crossfuse,Agency,53,1279,5573,2948,15708,1434,0,76,364,510,1164,3936,593,0
https://www.sortlist.com/agency/msight-2,Agency,48,1379,7746,5487,16033,1042,0,68,397,1651,1035,4424,708,0
https://www.sortlist.com/agency/management-solutions-international-qatar-for-recruitment-outsourcing,Agency,51,1235,6127,5184,15034,1047,0,70,371,508,1342,4504,1061,0
https://www.sortlist.com/agency/bee-interactive,Agency,45,1395,7955,5082,16620,1709,0,63,384,1919,1381,4309,825,0
https://www.sortlist.com/agency/reevateam,Agency,50,1228,5693,4629,15794,1456,0,79,355,443,857,3697,481,0
https://www.sortlist.com/agency/arnaud-brunel,Agency,57,1274,6224,3944,15126,764,0,74,361,1185,1176,3755,546,0
https://www.sortlist.com/agency/beyondcomms,Agency,48,1437,7632,4298,15426,1346,0,66,393,1528,827,4650,1178,0
https://www.sortlist.com/agency/volcanographics,Agency,53,1378,5578,3965,15112,1256,0,73,357,664,1134,4177,716,0
https://www.sortlist.com/agency/push-social-media-agency,Agency,46,1399,6569,5278,15241,1601,0,60,360,1579,2245,4878,1416,0
https://www.sortlist.com/agency/clear-stream-films,Agency,52,1413,6420,3140,15772,1196,0,67,387,1259,768,5309,1601,0
https://www.sortlist.com/agency/imexpert,Agency,42,1387,7081,6263,16306,2159,0,68,376,1392,1174,4353,816,0
https://www.sortlist.com/agency/prompt-softech,Agency,52,1416,6518,4240,14770,1055,0,61,360,1558,2254,4509,1116,0
https://www.sortlist.com/agency/cybercite,Agency,53,1405,6735,4520,15496,896,0,64,398,1695,1782,4169,730,0
https://www.sortlist.com/agency/exclusive-concepts,Agency,51,1417,6469,3323,15132,1388,0,68,355,510,1755,4611,1478,0
https://www.sortlist.com/agency/innovative-real-estate-solutions,Agency,54,1236,6222,4152,14576,995,0,68,361,1215,761,4550,1111,0
https://www.sortlist.com/agency/mcdonald-hopkins,Agency,55,1265,6214,3554,14777,976,0,67,341,471,2569,4144,786,0
https://www.sortlist.com/agency/herraiz-co,Agency,52,1351,6477,3864,14581,1176,0,69,353,521,1901,4104,865,0
https://www.sortlist.com/agency/techcouver,Agency,65,1221,6090,3922,14056,448,0,66,356,516,2467,4518,1056,0
https://www.sortlist.com/agency/solicitous-business-solutions-pvt-ltd,Agency,54,1379,6948,6097,14850,678,0,71,369,1269,841,3989,705,0
https://www.sortlist.com/agency/415-creative-inc,Agency,69,1395,2449,4985,15204,1264,0,66,376,1245,1356,4755,1231,0
https://www.sortlist.com/agency/southparc,Agency,49,1388,9200,5400,15270,952,0,65,346,1588,1984,3977,710,0
https://www.sortlist.com/blog/category/84861abe-abce-45a9-9190-c16e27bfcb5a/copywriting/content-strategy/,Blog Category,56,4992,6546,4992,17702,352,0,84,1000,1435,1237,3940,256,0
https://www.sortlist.com/blog/category/web-software-development/website-creation/,Blog Category,53,4992,11757,5053,19529,398,0,77,767,2000,1503,4302,291,0
https://www.sortlist.com/blog/category/app-development/ipad-app-development/,Blog Category,61,4987,6730,4987,17844,204,0,71,1009,1472,1009,4064,529,0
https://www.sortlist.com/blog/category/fcacd56f-2aeb-4dc1-ad1d-27031d6c7a32/app-development/mobile-app-game-development/,Blog Category,55,4989,6603,4989,18269,408,0,80,1003,1468,1169,3832,313,0
